[0621/094143.265:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/094143.308:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/102858.099:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/102858.152:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/103127.630:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/103127.677:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/104009.924:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/104009.998:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/104410.655:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/104410.699:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/105048.556:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/105048.619:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/111100.506:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/111100.556:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/112252.697:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/112252.827:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/134743.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/134743.597:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/140729.833:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/140729.918:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/151903.340:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/151903.436:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/153011.185:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/153011.260:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/154004.981:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/154005.153:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/163521.855:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/163521.929:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/173607.890:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/173607.977:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/180433.925:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/180433.991:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/193115.794:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0621/193115.833:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
